날짜,시가,고가,저가,종가,거래량,등락률
2006-01-02,17828,17971,17164,17686,12809523,0.8151399418571509
2006-01-03,17685,17685,16974,17591,8443104,-0.5371480266877756
2006-01-04,17828,17876,16500,16501,7746728,-6.196350406457848
2006-01-05,16547,17069,16216,16785,9297877,1.7211078116477792
2006-01-06,16784,16974,16405,16785,7127708,0.0
2006-01-09,16879,17971,16784,17354,13081091,3.389931486446232
2006-01-10,17448,17685,16642,16832,6631757,-3.0079520571626137
2006-01-11,16784,17069,16453,16738,6112782,-0.5584600760456274
2006-01-12,16737,17021,16500,16501,5825547,-1.4159397777512248
2006-01-13,16121,17211,16121,16975,8416600,2.8725531785952367
2006-01-16,17164,17876,16927,17306,10904105,1.9499263622974963
2006-01-17,17448,17543,16216,16453,8843032,-4.928926383913094
2006-01-18,16405,16690,15078,15742,12820068,-4.321400352519297
2006-01-19,16026,16121,15552,15552,8424288,-1.206962266548088
2006-01-20,15506,15932,13846,13893,12107259,-10.667438271604938
2006-01-23,13467,14131,12565,13040,13112115,-6.139782624343194
2006-01-24,13372,14083,12803,14035,14372272,7.63036809815951
2006-01-25,14226,14605,13657,13846,12026399,-1.346633416458853
2006-01-26,13941,14368,13657,14367,6875992,3.762819586884299
2006-01-27,14842,15174,14652,15173,8235687,5.61007865246746
2006-01-31,15221,15363,14984,15173,5485531,0.0
2006-02-01,14889,15031,13941,14083,7460567,-7.18381335266592
2006-02-02,14510,14510,13467,13609,7912792,-3.3657601363345875
2006-02-03,13182,13276,12517,12517,8181583,-8.02410169740613
2006-02-06,12423,13277,12423,13229,9540964,5.688263961013022
2006-02-07,13087,13229,12517,12517,5875109,-5.38211505026835
2006-02-08,12517,12850,11901,11948,7558355,-4.545817687944396
2006-02-09,12327,12612,12232,12612,7366753,5.55741546702377
2006-02-10,12423,13135,12281,13040,7442215,3.3935934031081505
2006-02-13,13183,13372,12851,12850,5831560,-1.4570552147239262
2006-02-14,12945,13467,12756,13466,6783775,4.793774319066148
2006-02-15,13798,13845,12612,12612,9402718,-6.341898113768009
2006-02-16,12851,13183,12708,12992,5897366,3.013003488740882
2006-02-17,13135,13277,12803,13087,4781883,0.73121921182266
2006-02-20,13751,14794,13704,14415,14600028,10.147474593107663
2006-02-21,14415,14700,14036,14509,7237428,0.6520985084980923
2006-02-22,14368,14700,13988,14557,7359360,0.33082914053346196
2006-02-23,14700,15031,14415,14794,8731834,1.6280827093494539
2006-02-24,14700,14794,14225,14509,5657190,-1.9264566716236313
2006-02-27,14510,15031,14415,14936,5952509,2.943000895995589
2006-02-28,14984,15079,14700,14794,3971120,-0.9507230851633637
2006-03-02,14889,14937,14273,14272,4312625,-3.528457482763282
2006-03-03,14083,14273,13325,13372,7172791,-6.306053811659193
2006-03-06,13372,13514,13183,13466,4678144,0.7029614119054741
2006-03-07,13088,13277,12851,12850,4903747,-4.574483885340858
2006-03-08,12661,13277,12661,13277,7135805,3.3229571984435795
2006-03-09,13325,13609,13183,13324,7845109,0.35399563154327035
2006-03-10,13325,13609,13135,13466,3251289,1.0657460222155508
2006-03-13,13704,13751,13420,13466,3214203,0.0
2006-03-14,13467,13609,13088,13324,3126837,-1.0545076488935097
2006-03-15,13609,13657,13277,13277,3179447,-0.3527469228459922
2006-03-16,13420,13562,13088,13182,3090287,-0.7155230850342698
2006-03-17,13088,13372,12993,13277,2790222,0.720679714762555
2006-03-20,13277,13609,13277,13466,3358168,1.4235143481208106
2006-03-21,13562,13609,13277,13277,2787747,-1.4035348284568543
2006-03-22,13040,13135,12661,12755,4016751,-3.9316110567146194
2006-03-23,12945,12992,12232,12423,4383716,-2.6029008232065856
2006-03-24,12280,12517,11664,12328,6729173,-0.7647106174032038
2006-03-27,12043,12422,12043,12138,3307213,-1.5412070084360805
2006-03-28,11995,12327,11948,12091,3554409,-0.387213709013017
2006-03-29,11901,12327,11853,12138,4877720,0.3887188818129187
2006-03-30,12232,12375,12043,12091,3289604,-0.387213709013017
2006-03-31,12044,12803,12044,12708,4791668,5.1029691506078905
2006-04-03,12898,13751,12803,13751,6693747,8.207428391564369
2006-04-04,13751,14083,13514,13798,4905842,0.341793324121882
2006-04-05,13988,14225,13846,13893,3719814,0.6885055805189157
