날짜,시가,고가,저가,종가,거래량,등락률,매수_기관합계,매수_기타법인,매수_개인,매수_외국인합계,매도_기관합계,매도_기타법인,매도_개인,매도_외국인합계,전체
2025-07-10,4750,4960,4482,4520,8779479,,1679652082,1128464368,36753227927,1227891004,9756696687,739898125,26519044939,3773595630,40789235381
2025-07-11,4495,4550,4355,4515,1260801,-0.11061946902654868,801279501,227048195,4469043568,118444905,200531280,4792375,5250612787,159879727,5615816169
2025-07-14,4500,4515,4430,4465,482123,-1.1074197120708749,91544445,279261790,1773100070,5829180,5412700,2321242,2130941743,11059800,2149735485
2025-07-15,4445,4570,4435,4565,502721,2.2396416573348263,126543662,409600965,1398055009,339244644,33060615,966210,2225984210,13433245,2273444280
2025-07-16,4565,4570,4490,4530,172186,-0.7667031763417306,86532842,7080695,672495517,12295144,2138335,944610,649205123,126116130,778404198
2025-07-17,4510,4540,4495,4530,152308,0.0,111777740,0,546235937,29372823,546237,13545,614885102,71941616,687386500
2025-07-18,4530,4560,4490,4505,171813,-0.5518763796909493,160196185,4495,581374095,31935169,58541,130597,491723288,281597518,773509944
2025-07-21,4505,4505,4465,4470,92603,-0.776914539400666,21668935,130809055,257961656,3961140,84930,107432,350890757,63317667,414400786
2025-07-22,4480,4480,4420,4445,190979,-0.5592841163310962,27504651,230810340,556541529,34119575,9696929,84544,721466098,117728524,848976095
2025-07-23,4445,4470,4430,4465,57822,0.44994375703037126,17682005,84695010,140256753,15054190,8966857,891135,239324747,8505219,257687958
2025-07-24,4460,4480,4455,4465,81454,0.0,138132785,81382225,112457431,31690310,2932975,0,356915351,3814425,363662751
2025-07-25,4465,4490,4445,4485,76674,0.4479283314669653,39697085,84613490,199468796,19004955,69970215,169977,261547814,11096320,342784326
2025-07-28,4470,4475,4445,4450,65950,-0.7803790412486065,30813615,109125090,152775932,1319215,43382912,1502397,219579983,29568560,294033852
2025-07-29,4450,4450,4410,4415,78707,-0.7865168539325843,49910585,8913300,286382921,2351276,133719713,57385,179793924,33987060,347558082
