날짜,시가,고가,저가,종가,거래량,등락률,매수_기관합계,매수_기타법인,매수_개인,매수_외국인합계,매도_기관합계,매도_기타법인,매도_개인,매도_외국인합계,전체
2025-11-24,23250,30200,23250,30200,686460,,0,0,20708858950,0,123189200,0,20553385950,32283800,20708858950
2025-11-25,39250,39250,39250,39250,30460,29.96688741721854,0,3925000,1191630000,0,321653750,314000,533603750,339983500,1195555000
2025-11-26,51000,51000,44300,51000,2755294,29.936305732484076,983728100,4625333275,123907235650,4805103675,15070132875,4153097450,109714282075,5383888300,134321400700
2025-11-27,49000,55700,48000,51300,3079820,0.5882352941176471,847734700,600700050,143069847200,14422864275,2192737250,2650159250,139499712825,14598536900,158941146225
2025-11-28,52500,66600,51500,66600,1503038,29.82456140350877,4616521600,5105342200,65397172850,15628503400,2195380900,561502900,77246597400,10744058850,90747540050
2025-12-01,76000,83500,67400,72300,4309637,8.558558558558559,44434600,832029100,294581222050,29209187000,838059050,6229688050,281952638600,35646487050,324666872750
2025-12-02,70600,75100,67000,72300,813629,0.0,92164850,91834200,54479165150,3189581850,323768650,199585100,52004304450,5325087850,57852746050
2025-12-03,74000,76200,69000,70500,472871,-2.4896265560165975,37238000,335794900,31197556850,2080892350,1203552100,140469700,29685450000,2622010300,33651482100
2025-12-04,70000,70100,63100,63800,587957,-9.50354609929078,299686700,822540050,36476561950,947952000,1971166300,9269900,33343703700,3222600800,38546740700
2025-12-05,62900,67300,60800,64000,600034,0.3134796238244514,44557900,387727850,34473555650,3374589550,821600750,303238700,33279980850,3875610650,38280430950
2025-12-08,63100,64800,57700,58300,327058,-8.90625,450509100,133546600,18562219200,674350550,4286640150,304502800,14273138350,956344150,19820625450
2025-12-09,57900,62600,55300,59300,375408,1.7152658662092626,5118300,1334316500,18706144950,2388729150,659154500,753818600,19126086400,1895249400,22434308900
2025-12-10,59800,63000,58300,62200,225006,4.8903878583473865,617200,933254600,11291584050,1547006050,73762200,213746400,11863254200,1621699100,13772461900
2025-12-11,62700,68900,60400,65400,364723,5.144694533762058,26617600,1606352800,19230696350,2532529800,57533550,149760200,20876986500,2311916300,23396196550
2025-12-12,65900,74500,64400,70300,556691,7.492354740061162,78938500,1252418100,34081938350,3396955950,909764450,124391600,34466789000,3309305850,38810250900
2025-12-15,69400,74300,67300,74300,303565,5.689900426742532,24155300,412947800,19130929400,1990848050,140698800,141200000,20439176250,837805500,21558880550
2025-12-16,74200,75500,67600,69300,295115,-6.7294751009421265,15924800,173339000,20203805750,239539300,2713900,143560500,16386437550,4099896900,20632608850
2025-12-17,69000,73300,61300,62300,430230,-10.1010101010101,12048500,188704300,24730177000,3485297050,14769800,29536300,21143194700,7228726050,28416226850
2025-12-18,60700,64400,60000,60100,171323,-3.5313001605136436,5952900,169147900,8869749000,1579276650,11565400,11602400,8379155400,2221803250,10624126450
2025-12-19,61900,66100,60500,64100,269089,6.655574043261231,2577344400,38039900,10518744250,4043147200,114885150,635736400,13092404950,3334249250,17177275750
2025-12-22,66600,66700,62300,63300,122208,-1.24804992199688,150996000,66701100,6946718500,643046200,56148100,48533900,6185934950,1516844850,7807461800
2025-12-23,63300,63300,59800,60000,178217,-5.213270142180095,23877900,53952200,8943597850,1830303300,24839400,305554600,8650638300,1870698950,10851731250
2025-12-24,60500,60500,58200,58700,96129,-2.166666666666667,35344800,15397000,4811092450,814452300,881300,8545800,4825888750,840970700,5676286550
2025-12-26,58700,59800,55100,59400,120775,1.192504258943782,59964900,27400300,5698463850,1253681150,23402600,16279500,6044805000,955023100,7039510200
2025-12-29,59400,59500,53800,54000,239692,-9.090909090909092,2346900,1138741300,11120494800,1054574000,773231500,2554817300,8515967650,1472140550,13316157000
2025-12-30,54200,54200,51200,52500,139317,-2.7777777777777777,11669050,105189200,5131266050,2053291750,1015050700,51628500,5311465700,923271150,7301416050
