날짜,시가,고가,저가,종가,거래량,등락률,매수_기관합계,매수_기타법인,매수_개인,매수_외국인합계,매도_기관합계,매도_기타법인,매도_개인,매도_외국인합계,전체
2025-11-24,611000,611000,428500,438500,1178683,,58462365000,5614906000,486912831000,5537792000,151147397500,4972125500,338922458000,61485913000,556527894000
2025-11-25,395000,412000,330000,335500,1690325,-23.48916761687571,41927269750,6643365000,545560144250,18905005250,46648165250,2057456000,351043432250,213286730750,613035784250
2025-11-26,337000,394500,329000,363000,2178506,8.19672131147541,18958804750,6894910250,701409857500,75016879500,15476181250,2932478500,557851959750,226019832500,802280452000
2025-11-27,351000,458500,351000,434500,2858529,19.696969696969695,38855800500,11751710500,1029867385250,122261697500,36184152750,7800856250,985927117250,172824467500,1202736593750
2025-11-28,437000,476000,425500,429000,1666338,-1.2658227848101267,8438294500,2200941500,676957736500,55573981250,15507073500,3334636250,591754784500,132574459500,743170953750
2025-12-01,429500,436500,395000,398000,884247,-7.226107226107226,5997733500,2202525750,312187778250,38081001750,21079097250,1305909500,204747039250,131336993250,358469039250
2025-12-02,402000,449000,385000,442000,1923357,11.055276381909549,11065621500,6134350000,680357751750,127745747500,7760113500,4067129000,694275910500,119200317750,825303470750
2025-12-03,454500,562000,452500,549000,3759058,24.20814479638009,72074433000,15461678000,1606427247750,233991039500,20621419250,12930475750,1597176593500,297225909750,1927954398250
2025-12-04,537000,578000,525000,557000,1946500,1.4571948998178506,25831178500,3906295000,938887680500,113837435000,18287011000,4334393500,906336074500,153505110000,1082462589000
2025-12-05,552000,590000,514000,515000,1284866,-7.5403949730700175,8127751000,3480152000,632205658000,70109627500,16477257500,6561981500,569899600000,120984349500,713923188500
2025-12-08,525000,537000,506000,515000,681006,0.0,10570717000,1709705000,297931594500,43803174000,25455645000,1468735500,262442519000,64648291000,354015190500
2025-12-09,521000,585000,519000,575000,2149855,11.650485436893204,23360198000,21841587500,954579805000,210647326000,10693977000,12287312500,1027003172000,160444455000,1210428916500
2025-12-10,569000,577000,555000,565000,634546,-1.7391304347826086,7447684500,2344250500,316126275500,32924884500,7515997000,2706187500,262982555500,85638355000,358843095000
2025-12-11,572000,606000,563000,569000,1277380,0.7079646017699115,29685212500,9621801500,618614214000,88853722500,12497567000,11805213000,618354536000,104117634500,746774950500
2025-12-12,571000,689000,570000,661000,2493488,16.16871704745167,28883793000,9881387000,1273548519500,275385000000,39952716000,11893827000,1350359626000,185492530500,1587698699500
2025-12-15,650000,739000,649000,709000,1591265,7.2617246596066565,28433977000,9742938000,888134026000,172267136500,16792301500,8100531000,896556263000,177128982000,1098578077500
2025-12-16,718000,759000,707000,712000,1281265,0.4231311706629055,20563192000,9531079500,783310064000,121828734500,13330444500,4746326000,749217777500,167938522000,935233070000
2025-12-17,712000,713000,660000,666000,741249,-6.460674157303371,9024652000,4742110500,425316722000,67664164500,35516511000,2743545500,327912006500,140575586000,506747649000
2025-12-18,648000,720000,648000,680000,1039039,2.1021021021021022,11838949000,12080461500,561894653500,134991671500,14275111500,6741757000,571830326500,127958540500,720805735500
2025-12-19,693000,703000,663000,673000,433458,-1.0294117647058822,2727084000,3732284500,251349821500,36120899500,12382789500,7479991500,212323686000,61743622500,293930089500
2025-12-22,686000,688000,650000,663000,411969,-1.4858841010401187,4946053500,1064318500,226790645000,41180674500,27631164000,5829860000,215437687000,25082980500,273981691500
2025-12-23,668000,672000,640000,652000,411504,-1.6591251885369533,15630981500,890105000,198316478000,55150995000,18450252000,2425743000,218162966500,30949598000,269988559500
2025-12-24,649000,669000,636000,638000,391074,-2.147239263803681,4508522000,2336167500,200569676000,45884079000,16574733000,2827651500,200034077000,33861983000,253298444500
2025-12-26,639000,705000,637000,680000,919960,6.583072100313479,9132367500,5035616000,478102705000,131133263000,9803342500,5021533000,532070818000,76508258000,623403951500
2025-12-29,691000,750000,680000,739000,741759,8.676470588235293,21924004000,4514742000,400500862500,104605957500,5915252000,5197088500,452803014500,67630211000,531545566000
2025-12-30,743000,765000,726000,743000,676279,0.5412719891745602,6168982500,8627172500,423604604500,67946096500,6172916000,5096380000,394806445500,100271114500,506346856000
