날짜,시가,고가,저가,종가,거래량,등락률,매수_기관합계,매수_기타법인,매수_개인,매수_외국인합계,매도_기관합계,매도_기타법인,매도_개인,매도_외국인합계,전체
2013-10-24,,,,,,,0,0,475820200,41233300,0,0,497512300,19541200,517053500
2013-10-25,,,,,,,0,0,705697450,6438750,0,0,623899750,88236450,712136200
2013-10-28,,,,,,,0,0,750880900,101175400,0,0,825130200,26926100,852056300
2013-10-29,,,,,,,0,0,374244850,2761350,0,0,356431100,20575100,377006200
2013-10-30,,,,,,,0,0,1125830100,64673300,0,0,1133311850,57191550,1190503400
2013-10-31,,,,,,,37497600,22904350,845197050,21026850,0,0,811724800,114901050,926625850
2013-11-01,,,,,,,0,0,345599600,36090400,0,0,369160650,12529350,381690000
2013-11-04,,,,,,,0,0,318042250,18778700,0,0,324106200,12714750,336820950
2013-11-05,,,,,,,0,0,740187950,153850,0,0,616024950,124316850,740341800
2013-11-06,,,,,,,0,0,1140019400,70585900,0,0,1165802900,44802400,1210605300
2013-11-07,,,,,,,0,0,1018334930,46149640,0,6586220,1033556330,24342020,1064484570
2013-11-08,,,,,,,0,0,627903470,47877520,0,0,640683850,35097140,675780990
2013-11-11,,,,,,,0,0,520568020,86849950,0,0,568863020,38554950,607417970
2013-11-12,,,,,,,0,0,249573150,85113590,0,0,333101910,1584830,334686740
2013-11-13,,,,,,,0,0,159320760,23129050,0,0,166318040,16131770,182449810
2013-11-14,,,,,,,0,0,227215360,20178550,2853000,0,232845000,11695910,247393910
2013-11-15,,,,,,,0,0,305705870,14054110,0,0,257385720,62374260,319759980
2013-11-18,,,,,,,0,0,247996870,11732300,0,0,248963440,10765730,259729170
2013-11-19,,,,,,,0,0,1506078580,45711270,0,0,1545649870,6139980,1551789850
2013-11-20,,,,,,,0,0,284714120,32131760,0,0,314624480,2221400,316845880
2013-11-21,,,,,,,0,0,178585660,33696860,0,0,202270320,10012200,212282520
2013-11-22,,,,,,,0,0,220349060,65002470,0,0,268535200,16816330,285351530
2013-11-25,,,,,,,0,0,257707930,23389440,0,0,228210050,52887320,281097370
2013-11-26,,,,,,,0,0,224598160,23411430,0,0,222837710,25171880,248009590
2013-11-27,,,,,,,0,0,258454250,20151320,0,0,238107820,40497750,278605570
2013-11-28,,,,,,,0,0,183586390,1771650,0,0,180696600,4661440,185358040
2013-11-29,,,,,,,0,0,188977200,13110270,0,0,186897570,15189900,202087470
2013-12-02,,,,,,,0,0,245142440,19872080,0,0,231101780,33912740,265014520
2013-12-03,6518.0,6565.0,6286.0,6412.0,45929.0,,0,0,272767190,21564650,0,0,268419520,25912320,294331840
2013-12-04,6449.0,6581.0,6316.0,6412.0,32715.0,0.0,0,0,200870650,10377870,0,0,202129470,9119050,211248520
2013-12-05,6333.0,6581.0,6263.0,6482.0,23816.0,1.0917030567685588,0,0,123861840,28166160,0,0,146079070,5948930,152028000
2013-12-06,6309.0,6480.0,6309.0,6428.0,20970.0,-0.8330762110459735,0,0,125059220,8778530,0,0,119319880,14517870,133837750
2013-12-09,6503.0,6503.0,6255.0,6257.0,30111.0,-2.660236465463597,0,0,176095420,15160710,0,0,185576550,5679580,191256130
2013-12-10,6178.0,6333.0,6046.0,6327.0,93074.0,1.118747003356241,0,0,502993320,67432790,0,0,540044930,30381180,570426110
2013-12-11,6325.0,6636.0,6224.0,6272.0,113528.0,-0.8692903429745534,0,0,724382170,9596290,0,0,666313360,67665100,733978460
2013-12-12,6139.0,6340.0,6131.0,6327.0,29362.0,0.8769132653061223,0,0,149435090,33408480,0,0,181237650,1605920,182843570
2013-12-13,6325.0,6325.0,6076.0,6179.0,42865.0,-2.3391812865497075,0,0,231486640,34002780,0,0,243408490,22080930,265489420
2013-12-16,6193.0,6278.0,5998.0,6001.0,43422.0,-2.880725036413659,0,0,265293070,0,0,0,239002000,26291070,265293070
2013-12-17,5998.0,6193.0,5998.0,6016.0,33465.0,0.24995834027662056,0,0,188552960,15365190,0,0,193707890,10210260,203918150
2013-12-18,6022.0,6100.0,5867.0,5954.0,63730.0,-1.0305851063829787,0,0,348365120,32587150,0,0,379404170,1548100,380952270
2013-12-19,5998.0,6092.0,5945.0,6008.0,26438.0,0.9069533087000335,0,0,139354260,19307710,0,0,154210520,4451450,158661970
2013-12-20,5975.0,6092.0,5860.0,5946.0,21772.0,-1.0319573901464714,0,0,125954760,2914790,0,0,123405610,5463940,128869550
2013-12-23,5960.0,6170.0,5937.0,6117.0,26790.0,2.875882946518668,0,0,135628510,26661390,0,0,158490960,3798940,162289900
2013-12-24,6115.0,6240.0,6115.0,6210.0,16425.0,1.5203531142717017,0,0,99813230,1394760,0,0,84197720,17010270,101207990
2013-12-26,6286.0,6325.0,6162.0,6195.0,16237.0,-0.24154589371980675,0,7347450,93633670,0,0,0,79214010,21767110,100981120
2013-12-27,6162.0,6271.0,6123.0,6218.0,18873.0,0.37126715092816787,0,0,102549040,14164110,0,0,114546660,2166490,116713150
2013-12-30,6278.0,6278.0,6100.0,6109.0,37498.0,-1.752975233193953,0,0,227998400,3152410,0,0,215575630,15575180,231150810
2014-01-02,5991.0,6232.0,5991.0,6008.0,44100.0,-1.6532984121787524,0,0,234649780,32622920,0,0,267264880,7820,267272700
2014-01-03,6131.0,6131.0,6022.0,6094.0,15206.0,1.4314247669773634,0,0,76893350,15420140,0,0,88650950,3662540,92313490
2014-01-06,6046.0,6178.0,6046.0,6164.0,7145.0,1.1486708237610765,0,0,36790430,6974520,0,0,43512530,252420,43764950
2014-01-07,6201.0,6435.0,6154.0,6350.0,38245.0,3.017521090201168,0,0,218687470,22789950,0,0,224782340,16695080,241477420
2014-01-08,6435.0,6667.0,6302.0,6545.0,62663.0,3.0708661417322833,0,0,395950480,9529800,0,0,371549420,33930860,405480280
2014-01-09,6527.0,6829.0,6435.0,6677.0,116838.0,2.0168067226890756,0,2026090,773266580,10690200,0,0,740092130,45890740,785982870
2014-01-10,6691.0,6775.0,6573.0,6606.0,35052.0,-1.0633518047027108,0,8799500,220417150,4028420,0,0,195746010,37499060,233245070
2014-01-13,6714.0,6714.0,6496.0,6529.0,32594.0,-1.1656070239176506,0,0,211324620,2102260,0,10640320,186267550,16519010,213426880
2014-01-14,6559.0,6559.0,6426.0,6505.0,24535.0,-0.367590748966151,0,0,156555860,2085810,0,0,151193300,7448370,158641670
2014-01-15,6752.0,7054.0,6527.0,6761.0,156976.0,3.93543428132206,0,0,1013279250,53202260,0,8018250,998432580,60030680,1066481510
2014-01-16,6760.0,6806.0,6619.0,6691.0,18024.0,-1.0353498003253958,0,0,111769250,8878970,0,0,108181460,12466760,120648220
