날짜,시가,고가,저가,종가,거래량,등락률
2013-08-01,8005,8005,7770,7950,34508,
2013-08-02,8015,8030,7910,7995,24552,0.5660377358490566
2013-08-05,8015,8240,8015,8195,67969,2.5015634771732334
2013-08-06,8180,8240,8085,8195,26366,0.0
2013-08-07,8180,8335,8145,8230,25834,0.4270896888346553
2013-08-08,8300,8300,8145,8230,27056,0.0
2013-08-09,8285,8285,8180,8230,22241,0.0
2013-08-12,8145,8250,8120,8160,24318,-0.850546780072904
2013-08-13,8199,8199,8080,8100,26419,-0.7352941176470588
2013-08-14,8250,8370,8145,8265,70900,2.037037037037037
2013-08-16,8200,8244,8150,8240,30458,-0.3024803387779794
2013-08-19,8234,8364,8200,8205,31262,-0.42475728155339804
2013-08-20,8149,8269,7990,8040,47207,-2.010968921389397
2013-08-21,8120,8135,7770,7785,58090,-3.171641791044776
2013-08-22,7785,7830,7505,7715,22582,-0.8991650610147719
2013-08-23,7660,7919,7660,7760,27644,0.5832793259883344
2013-08-26,7785,7980,7715,7845,49713,1.095360824742268
2013-08-27,7935,7945,7630,7680,41399,-2.1032504780114722
2013-08-28,7550,7620,7435,7435,42508,-3.1901041666666665
2013-08-29,7470,7700,7470,7540,11779,1.4122394082044385
2013-08-30,7505,7560,7175,7400,55436,-1.8567639257294428
2013-09-02,7270,7515,7270,7435,35632,0.472972972972973
2013-09-03,7420,7560,7420,7435,28155,0.0
2013-09-04,7445,7525,7410,7435,19127,0.0
2013-09-05,7480,7550,7435,7470,22519,0.4707464694014795
2013-09-06,7464,7544,7335,7340,39084,-1.7402945113788488
2013-09-09,7369,7449,7300,7315,30009,-0.3405994550408719
2013-09-10,7319,7369,7135,7245,70951,-0.9569377990430622
2013-09-11,7290,7395,7255,7400,32693,2.139406487232574
2013-09-12,7310,7554,7310,7480,32623,1.0810810810810811
2013-09-13,7430,7544,7430,7515,16877,0.4679144385026738
2013-09-16,7519,7534,7430,7455,19200,-0.7984031936127743
2013-09-17,7449,7519,7345,7350,20068,-1.4084507042253522
2013-09-23,7355,7579,7320,7455,36739,1.4285714285714286
