날짜,시가,고가,저가,종가,거래량,등락률,매수_기관합계,매수_기타법인,매수_개인,매수_외국인합계,매도_기관합계,매도_기타법인,매도_개인,매도_외국인합계,전체
2019-10-18,3083,4006,3083,4006,27177,,0,0,113474270,0,50456850,25260,62992160,0,113474270
2019-10-21,5186,5205,4843,5205,3325917,29.930104842735894,525554640,7164400,16924211970,423175690,6378807910,66108540,11203839530,231350720,17880106700
2019-10-22,5405,6708,4957,6090,6081163,17.002881844380404,40843680,5507270,38986434830,467210630,263785680,160796820,38340477980,734935930,39499996410
2019-10-23,6651,6880,4929,5044,3650833,-17.175697865353037,64140000,23736000,22728790660,242590040,58984420,37151740,22595595370,367525170,23059256700
2019-10-24,4853,5776,4467,4834,3679399,-4.163362410785091,0,9897540,19690335370,408086730,12585805,9081800,19570181990,516470045,20108319640
2019-10-25,4872,5233,4386,4449,1176976,-7.964418700868846,0,1023020,5876213800,138966705,95003705,50298560,5742454945,128446315,6016203525
2019-10-28,4434,4448,3972,3978,663110,-10.586648685097774,0,0,2781746275,67386100,5502030,0,2756505860,87124485,2849132375
2019-10-29,3963,4520,3944,3997,705090,0.47762694821518353,0,2115000,3071703980,23308190,4200,0,3072981600,24141370,3097127170
2019-10-30,4396,5195,4282,5196,3771501,29.997498123592692,103005660,35044990,18917774045,241697585,131256520,46787400,18961181340,158297020,19297522280
2019-10-31,5709,6432,5005,5519,5881188,6.216320246343341,182780,87008080,35637629430,373633370,11010910,114245980,35574862050,398334720,36098453660
2019-11-01,6099,6271,5519,5615,2263992,1.739445551730386,0,0,13868208960,267977080,5900,4025340,13790096370,342058430,14136186040
2019-11-04,5538,5547,5176,5205,711797,-7.3018699910952805,0,0,3883633740,83230740,98460,5650000,3863188160,97927860,3966864480
2019-11-05,5024,5186,4634,4739,511348,-8.952929875120077,0,12790610,2503880000,71231930,669430,16141875,2500103590,70987645,2587902540
2019-11-06,4834,5310,4634,4768,800077,0.6119434479848069,0,24685415,4096158705,41588940,98113870,18192360,4005191330,40935500,4162433060
2019-11-07,4815,4853,4572,4625,309312,-2.999161073825503,0,7515000,1473877100,32997620,514875,14640945,1464470105,34763795,1514389720
2019-11-08,4691,4805,4453,4468,406136,-3.3945945945945946,0,0,1884916795,89306925,483585,0,1932136905,41603230,1974223720
2019-11-11,4501,4748,4358,4496,360545,0.6266786034019696,0,0,1691330975,30522930,146775,0,1664036635,57670495,1721853905
2019-11-12,4472,4524,4382,4435,209039,-1.3567615658362988,0,4730000,910748430,59377775,41940,9264030,893824465,71725770,974856205
2019-11-13,4439,4815,4434,4487,454750,1.172491544532131,0,0,2124515400,60927395,33005,0,2085615305,99794485,2185442795
2019-11-14,4562,4677,4420,4420,249050,-1.493202585246267,0,0,1119190785,66519995,23225,0,1094359970,91327585,1185710780
2019-11-15,4529,5519,4529,4715,3184357,6.67420814479638,0,546770,16597614895,151269045,19820,541980,16459045950,289822960,16749430710
2019-11-18,5081,5329,4777,4853,673463,2.9268292682926833,0,949600,3492494240,46452010,15300,930800,3472112400,66837350,3539895850
2019-11-19,4777,4900,4634,4758,327718,-1.9575520296723676,24985,0,1569683270,74110710,10000,0,1573023060,70785905,1643818965
2019-11-20,4872,5034,4586,4606,286186,-3.1946195880622112,0,0,1388585725,40111585,53240,0,1288314035,140330035,1428697310
2019-11-21,4472,4610,4448,4463,101516,-3.104646113764655,4690,0,443796345,37021970,51590,5254630,459157060,16359725,480823005
2019-11-22,4434,4515,4239,4358,133679,-2.3526775711404886,0,0,579647160,29122755,36640,0,589976210,18757065,608769915
2019-11-25,4282,4444,4282,4358,71236,0.0,0,0,292394555,34377310,27480,0,310733235,16011150,326771865
2019-11-26,4363,4386,4101,4368,82527,0.2294630564479119,0,0,346493960,25952155,45900,0,367751615,4648600,372446115
2019-11-27,4367,4396,4187,4249,87527,-2.7243589743589745,0,0,384875240,7955730,35720,0,383811470,8983780,392830970
2019-11-28,4196,4277,4110,4130,61982,-2.800658978583196,0,0,247600205,23463320,26040,0,263071885,7965600,271063525
2019-11-29,4110,4206,4025,4025,72231,-2.5423728813559325,21225000,0,258064040,30669230,16920,0,291553495,18387855,309958270
2019-12-02,4082,4277,3911,4016,139880,-0.22360248447204967,0,0,594195965,7623775,12660,0,568341765,33465315,601819740
2019-12-03,4168,4986,3968,4335,3343298,7.943227091633466,0,100950,16441009510,155479070,13665,103600,16259031815,337440450,16596589530
2019-12-04,4315,4315,4011,4049,432773,-6.597462514417532,0,0,1800628825,57123990,8510,0,1788385410,69358895,1857752815
2019-12-05,4025,4091,3806,3849,210171,-4.939491232403062,0,0,826385195,40254230,4045,0,790542065,76093315,866639425
2019-12-06,3825,4639,3825,3954,1288312,2.7279812938425563,0,0,5595207525,142458810,4155,0,5670392615,67269565,5737666335
2019-12-09,4034,4115,3944,3968,119672,0.3540718259989884,0,0,485933130,16330285,4170,0,488984200,13275045,502263415
2019-12-10,4034,4900,4025,4149,3221825,4.561491935483871,0,2165000,15261399940,201520655,4360,0,14983445965,481635270,15465085595
2019-12-11,4234,4520,4091,4244,764425,2.2897083634610746,0,0,3391613275,61835985,0,2197500,3404574345,46677415,3453449260
2019-12-12,4358,4358,4168,4173,161861,-1.6729500471253533,0,0,659820395,55650900,0,0,704088625,11382670,715471295
2019-12-13,4272,4363,4196,4268,289527,2.27653965971723,0,0,1254092200,51723450,0,0,1271875050,33940600,1305815650
2019-12-16,4372,4900,4310,4454,2172440,4.358013120899719,0,0,10276479100,227786270,0,0,10188793650,315471720,10504265370
2019-12-17,4453,4562,4291,4311,427077,-3.210597215985631,0,68685,1873037285,94113205,0,69420,1866715650,100434105,1967219175
2019-12-18,4382,4429,4253,4282,155884,-0.6726977499420088,0,0,668114445,38256440,4500,0,666299340,40067045,706370885
2019-12-19,4363,4367,4253,4273,120307,-0.21018215787015412,18025235,0,489270775,37074825,4490,13470,525286620,19066255,544370835
2019-12-20,4244,4329,4163,4187,68197,-2.0126374912239644,0,0,281958650,18637620,0,0,291622050,8974220,300596270
2019-12-23,4191,4258,3892,4082,90740,-2.5077621208502507,54313890,0,306221640,31032220,0,0,384657065,6910685,391567750
2019-12-24,4082,4220,4077,4078,183414,-0.09799118079372857,0,0,724673135,73319930,4285,0,721779470,76209310,797993065
2019-12-26,4063,4139,4044,4111,68842,0.8092202059833251,4320,0,253180870,43482810,0,0,293898075,2769925,296668000
2019-12-27,4139,4234,4091,4140,108139,0.7054244709316468,10923540,3045000,440429200,17468775,558610,0,441888180,29419725,471866515
2019-12-30,4149,4244,4144,4163,67391,0.5555555555555556,14203500,0,251572120,30655125,0,3101000,288739205,4590540,296430745
2020-01-02,4172,4187,4134,4154,37103,-0.21619024741772758,12258865,0,131738820,18131185,0,0,157690785,4438085,162128870
2020-01-03,4153,4187,4125,4154,60856,0.0,21820400,0,233481650,10091780,0,0,253810210,11583620,265393830
2020-01-06,4177,4177,4077,4101,76187,-1.2758786711603274,4332500,0,309754160,14895600,0,0,323663150,5319110,328982260
2020-01-07,4130,4149,4020,4021,70992,-1.950743721043648,3803480,0,284283075,15097805,1684700,0,294045670,7453990,303184360
2020-01-08,4025,4025,3820,3883,118635,-3.431982094006466,9080125,0,458567290,18990605,2827375,0,454438180,29372465,486638020
2020-01-09,3987,4025,3930,3963,51423,2.0602626834921454,1831805,0,210075190,2859505,1848020,0,204208410,8710070,214766500
2020-01-10,3968,4082,3958,3983,66171,0.5046681806712087,23445535,0,247052995,9062505,15607430,0,257642150,6311455,279561035
2020-01-13,3949,4015,3906,3954,47731,-0.7280944012051218,18959145,0,151922660,27506715,2308775,0,193683115,2396630,198388520
2020-01-14,4234,4653,4115,4140,1468775,4.704097116843703,7274440,0,6590220075,122367540,164189160,0,6459950690,95722205,6719862055
2020-01-15,4253,4358,4158,4173,272122,0.7971014492753623,0,0,1157171935,50913850,2730000,0,1172295815,33059970,1208085785
2020-01-16,4225,4229,4110,4154,106223,-0.455307931943446,3899500,0,443682520,15643835,0,0,455232895,7992960,463225855
2020-01-17,4120,4172,4115,4149,59245,-0.1203659123736158,5047735,434500,233538595,18583240,2020995,424830,247479505,7678740,257604070
2020-01-20,4225,4225,4144,4163,108558,0.3374307061942637,0,0,467860050,8139100,0,0,450546280,25452870,475999150
2020-01-21,4187,4229,4101,4106,106378,-1.3692049003122748,0,0,448631780,15244850,0,0,455059625,8817005,463876630
2020-01-22,4139,4158,4087,4106,59454,0.0,713800,0,230061410,26094900,715860,0,245741630,10412620,256870110
2020-01-23,4091,4153,4068,4092,60622,-0.34096444227959083,0,0,247904800,13542755,0,0,249581550,11866005,261447555
2020-01-28,3930,3987,3868,3949,107105,-3.494623655913978,19912325,0,353227660,69826575,0,0,433569610,9396950,442966560
2020-01-29,3996,4044,3906,3940,61393,-0.2279057989364396,1097370,0,243879780,9162690,1106715,0,239034115,13999010,254139840
2020-01-30,3920,4177,3877,3911,138963,-0.7360406091370558,11626430,0,514713485,53498495,9937865,0,496910570,72989975,579838410
2020-01-31,3930,3930,3625,3626,95406,-7.287138839171567,10670900,0,353676590,17543345,494140,0,361112385,20284310,381890835
2020-02-03,3582,3730,3449,3673,62630,1.2961941533370105,235085,0,212632110,23233495,780500,0,216137370,19182820,236100690
2020-02-04,3868,3873,3777,3840,57200,4.546692077320991,2022115,0,213374180,14627360,2824515,0,222997230,4201910,230023655
2020-02-05,3854,3944,3830,3864,52979,0.625,5322475,0,184400705,25413660,0,0,204712640,10424200,215136840
2020-02-06,3854,3892,3825,3864,32770,0.0,6075655,0,120024910,6567845,2023445,0,127917450,2727515,132668410
2020-02-07,3863,3892,3835,3864,34583,0.0,8120,0,125929695,14230490,0,0,129423190,10745115,140168305
2020-02-10,3854,3896,3806,3883,43813,0.4917184265010352,8160,0,149189225,27945085,0,0,170767755,6374715,177142470
2020-02-11,3887,4087,3882,3940,125855,1.4679371619881536,5841025,0,484382630,36013985,6658160,0,504680470,14899010,526237640
2020-02-12,3920,3949,3868,3925,45898,-0.3807106598984772,6839885,0,177653030,4023570,1916065,0,173952240,12648180,188516485
2020-02-13,3920,3944,3854,3892,35276,-0.8407643312101911,12195000,0,127631200,4095605,0,0,130504225,13417580,143921805
2020-02-14,3863,3930,3820,3897,33906,0.12846865364850976,9361180,0,122858740,5478795,2009400,0,131932545,3756770,137698715
2020-02-17,3896,3930,3854,3902,41037,0.12830382345393893,4100,0,161300590,6677885,0,1238200,155141290,11603085,167982575
2020-02-18,3882,3958,3830,3845,58918,-1.460789338800615,2006940,0,229609220,8329700,1459870,0,230687915,7798075,239945860
2020-02-19,3892,3892,3763,3830,45866,-0.3901170351105332,7478335,0,172544940,3630165,2015895,0,179095165,2542380,183653440
2020-02-20,3815,4144,3763,4073,294543,6.344647519582246,187201680,0,1002076165,42837715,882750,0,1194934495,36298315,1232115560
2020-02-21,4025,4091,3858,3902,87885,-4.198379572796465,16364270,0,330969965,16793480,0,0,340117985,24009730,364127715
2020-02-24,3682,3796,3644,3692,84333,-5.381855458739109,0,0,301832820,26508770,0,0,302531415,25810175,328341590
2020-02-25,3578,3777,3578,3754,36878,1.6793066088840736,1046410,0,137761395,5864585,20613455,0,122183505,1875430,144672390
2020-02-26,3644,3782,3644,3740,25872,-0.37293553542887586,3168225,0,89876810,7218415,7049290,0,93206400,7760,100263450
2020-02-27,3692,3792,3620,3626,40216,-3.048128342245989,1747270,0,149959355,2925750,198900,0,141065960,13367515,154632375
2020-02-28,3568,3701,3416,3521,51247,-2.8957528957528957,5672800,0,176992495,5184145,3435585,0,176450690,7963165,187849440
2020-03-02,3592,3616,3373,3564,34298,1.2212439647827322,20703465,0,101501585,5635645,5159990,0,116495905,6184800,127840695
2020-03-03,3611,3663,3544,3545,36555,-0.5331088664421998,32654280,0,103460260,1988360,3159225,0,132140335,2803340,138102900
