날짜,시가,고가,저가,종가,거래량,등락률,매수_기관합계,매수_기타법인,매수_개인,매수_외국인합계,매도_기관합계,매도_기타법인,매도_개인,매도_외국인합계,전체
2022-04-28,41600,45500,41000,43450,184729,,2606174600,9571200,5347358450,44850,1774774800,2232000,6161664100,24478200,7963149100
2022-04-29,43750,45250,43600,44850,33628,3.222094361334868,274213700,376763050,802459050,46895550,47042400,16056900,1410160750,27071300,1500331350
2022-05-02,44800,44800,43750,44300,17659,-1.2263099219620959,221099650,198060750,354929900,8537300,0,0,702229200,80398400,782627600
2022-05-03,43500,43650,42250,42300,27285,-4.514672686230249,125538950,355344500,647280700,40893100,0,23791050,1106337700,38928500,1169057250
2022-05-04,42600,43100,42250,42800,9533,1.1820330969267139,211644250,58340800,103042000,34418550,2873250,0,396653850,7918500,407445600
2022-05-06,43050,43050,41200,42100,8886,-1.6355140186915886,0,145404950,221077800,5921850,0,0,346509350,25895250,372404600
2022-05-09,41800,41800,40650,41000,11832,-2.6128266033254155,84755600,206350950,191433450,4180750,0,205500,470752950,15762300,486720750
2022-05-10,40650,41450,39850,41000,6816,0.0,32749100,119750200,97153150,24042950,0,0,225175500,48519900,273695400
2022-05-11,40400,41000,40000,41000,4831,0.0,71769300,53930250,47487900,23460500,0,0,195462950,1185000,196647950
2022-05-12,41000,41100,40200,40300,7641,-1.707317073170732,117305650,0,189466800,3816850,0,0,255873400,54715900,310589300
2022-05-13,39900,41250,39900,40700,2478,0.9925558312655087,38103800,0,61317300,1414200,4065250,0,95702050,1068000,100835300
2022-05-16,40700,41000,40200,40200,2428,-1.2285012285012284,24461200,0,71486650,2308550,12092850,529100,80647900,4986550,98256400
2022-05-17,40200,41000,39950,40200,2929,0.0,26255650,0,89635500,1492450,8012950,0,108888100,482550,117383600
2022-05-18,41000,41000,39450,39650,8399,-1.3681592039800996,34357850,0,290411250,9279450,0,0,324277250,9771300,334048550
2022-05-19,39000,40200,38100,38450,8710,-3.0264817150063053,52671900,0,270486750,11269250,0,0,331410450,3017450,334427900
2022-05-20,39750,39750,37800,38200,12130,-0.6501950585175552,155427200,0,274833750,33117550,0,0,446237450,17141050,463378500
2022-05-23,38200,38200,37750,38000,2711,-0.5235602094240838,28023600,0,71006450,3674650,0,0,101835950,868750,102704700
2022-05-24,38900,38900,38200,38350,5313,0.9210526315789472,76838100,0,123693950,3681250,0,0,186994900,17218400,204213300
2022-05-25,38400,39500,38050,39300,9126,2.4771838331160363,246455550,0,75329800,33387250,0,0,347575100,7597500,355172600
2022-05-26,38800,39850,38800,39100,1654,-0.5089058524173028,0,0,52297050,12377600,0,0,63850800,823850,64674650
2022-05-27,39800,40000,39100,39500,3265,1.0230179028132993,37074300,0,91857250,78350,3961850,0,110885500,14162550,129009900
2022-05-30,39600,40050,39600,40000,1970,1.2658227848101267,31331400,15999200,29983300,1391500,7990550,0,69079200,1635650,78705400
2022-05-31,40000,40550,39700,40200,6343,0.5,70710150,0,23114000,160792800,0,1040000,83584350,169992600,254616950
2022-06-02,40200,40300,39050,39150,3359,-2.6119402985074625,32127300,482400,92147450,7680050,3935300,84085650,42987950,1428300,132437200
