날짜,시가,고가,저가,종가,거래량,매수_기관합계,매수_기타법인,매수_개인,매수_외국인합계,매도_기관합계,매도_기타법인,매도_개인,매도_외국인합계,전체,predictable
2016-11-01,611000.0,611000.0,611000.0,611000.0,1178683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-02,611000.0,611000.0,611000.0,611000.0,1178683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-03,611000.0,611000.0,611000.0,611000.0,1178683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-04,611000.0,611000.0,611000.0,611000.0,1178683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-07,611000.0,611000.0,611000.0,611000.0,1178683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-08,611000.0,611000.0,611000.0,611000.0,1178683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-09,611000.0,611000.0,611000.0,611000.0,1178683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-10,611000.0,611000.0,611000.0,611000.0,1178683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-11,611000.0,611000.0,611000.0,611000.0,1178683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-14,611000.0,611000.0,611000.0,611000.0,1178683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-15,611000.0,611000.0,611000.0,611000.0,1178683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-16,611000.0,611000.0,611000.0,611000.0,1178683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-17,611000.0,611000.0,611000.0,611000.0,1178683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-18,611000.0,611000.0,611000.0,611000.0,1178683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-21,611000.0,611000.0,611000.0,611000.0,1178683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-22,611000.0,611000.0,611000.0,611000.0,1178683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-23,611000.0,611000.0,611000.0,611000.0,1178683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-24,611000.0,611000.0,611000.0,611000.0,1178683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-25,611000.0,611000.0,611000.0,611000.0,1178683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-28,611000.0,611000.0,611000.0,611000.0,1178683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-29,611000.0,611000.0,611000.0,611000.0,1178683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
