날짜,시가,고가,저가,종가,거래량,predictable
2016-11-01,38100.0,38500,38000,38450,147742.0,1
2016-11-02,38400.0,38450,37800,38150,152224.0,1
2016-11-03,38150.0,38150,35550,36000,823904.0,1
2016-11-04,36200.0,37200,36100,37200,461697.0,1
2016-11-07,37500.0,37500,36400,36450,542989.0,1
2016-11-08,36450.0,36650,36150,36600,235467.0,1
2016-11-09,36950.0,37100,36200,36850,455346.0,1
2016-11-10,36950.0,37500,36700,37500,427212.0,1
2016-11-11,37400.0,37450,36400,36500,1069854.0,1
2016-11-14,36600.0,36850,36050,36150,265621.0,1
2016-11-15,36000.0,36150,35500,35600,472480.0,1
2016-11-16,35450.0,35850,35450,35450,458095.0,1
2016-11-17,35500.0,36000,35450,36000,242368.0,1
2016-11-18,35800.0,36100,35600,35600,268733.0,1
2016-11-21,35800.0,35800,35350,35350,181906.0,1
2016-11-22,35600.0,36200,35400,35900,298822.0,1
2016-11-23,35650.0,36200,35550,36100,373989.0,1
2016-11-24,36250.0,37000,36100,36850,390434.0,1
2016-11-25,36650.0,37450,36600,37450,381918.0,1
2016-11-28,37100.0,37800,36950,37200,215717.0,1
2016-11-29,36900.0,37400,36650,37150,208415.0,1
2016-11-30,36700.0,36850,35650,35650,808262.0,1
2016-12-01,35650.0,36850,35600,36800,374070.0,1
2016-12-02,37000.0,37200,36150,36300,233973.0,1
2016-12-05,36350.0,36800,36050,36250,167281.0,1
2016-12-06,36750.0,36900,36250,36550,286790.0,1
2016-12-07,36800.0,37000,36550,36850,260212.0,1
2016-12-08,37050.0,37750,36800,37750,445892.0,1
2016-12-09,37250.0,37500,37200,37400,209064.0,1
2016-12-12,37400.0,37800,36800,36900,249905.0,1
2016-12-13,36750.0,37200,36750,37050,273101.0,1
2016-12-14,37200.0,37650,37050,37350,272868.0,1
2016-12-15,36800.0,37350,36600,37050,213664.0,1
2016-12-16,37500.0,37500,36650,36650,347344.0,1
2016-12-19,36700.0,37300,36600,37050,239995.0,1
2016-12-20,37050.0,37300,36600,36650,142150.0,1
2016-12-21,36600.0,36800,36250,36550,294680.0,1
2016-12-22,36900.0,37250,36550,36950,242810.0,1
2016-12-23,36750.0,37550,36650,37550,245781.0,1
2016-12-26,37500.0,37550,36950,37350,194276.0,1
2016-12-27,37350.0,37500,37100,37150,216105.0,1
2016-12-28,36400.0,36650,36250,36250,176053.0,1
2016-12-29,35900.0,36200,35750,35750,326228.0,1
2017-01-02,35900.0,36150,35600,35700,188783.0,1
2017-01-03,35750.0,35800,35300,35550,391803.0,1
2017-01-04,35550.0,36300,35500,36300,309752.0,1
2017-01-05,36050.0,36650,36050,36650,327955.0,1
2017-01-06,36300.0,36600,36000,36050,325900.0,1
2017-01-09,35800.0,36000,34500,34550,672511.0,1
2017-01-10,34550.0,34850,34350,34800,391764.0,1
2017-01-11,34600.0,34900,34400,34500,1063486.0,1
2017-01-12,34450.0,35200,34450,34650,437110.0,1
2017-01-13,34650.0,35150,34650,35100,228346.0,1
2017-01-16,35050.0,35100,34550,34950,398638.0,1
2017-01-17,35000.0,35150,34800,34950,542484.0,1
2017-01-18,34950.0,35000,34500,34500,256983.0,1
2017-01-19,34500.0,35100,34150,34200,393897.0,1
2017-01-20,34300.0,34400,34000,34000,390436.0,1
2017-01-23,34150.0,34500,34000,34050,277578.0,1
2017-01-24,34000.0,34200,33750,33900,404405.0,1
2017-01-25,33850.0,34050,32400,32950,657784.0,1
2017-01-26,32950.0,33100,32650,32650,399559.0,1
2017-01-31,32700.0,32750,32150,32700,373080.0,1
2017-02-01,33000.0,34100,32700,34000,597149.0,1
2017-02-02,34150.0,34800,33900,34550,670052.0,1
2017-02-03,34800.0,34950,34100,34500,403502.0,1
2017-02-06,34900.0,35100,34550,35100,575513.0,1
2017-02-07,35000.0,35600,34850,35450,387749.0,1
2017-02-08,35000.0,35400,34750,35000,408029.0,1
2017-02-09,35000.0,35500,34800,35350,430382.0,1
2017-02-10,35400.0,35450,34900,34900,352672.0,1
2017-02-13,35000.0,35450,34900,35200,262488.0,1
2017-02-14,35500.0,35550,35150,35500,314383.0,1
2017-02-15,35250.0,35800,35250,35600,209815.0,1
2017-02-16,35300.0,35350,34200,34300,774609.0,1
2017-02-17,34300.0,34550,34100,34150,343438.0,1
2017-02-20,34150.0,34450,34100,34450,282289.0,1
2017-02-21,34200.0,34500,34200,34500,166561.0,1
2017-02-22,34450.0,34700,34200,34650,286611.0,1
2017-02-23,34950.0,35450,34400,35450,422571.0,1
2017-02-24,35650.0,35700,34900,35450,515726.0,1
2017-02-27,35750.0,35750,35400,35650,286287.0,1
2017-02-28,35750.0,35750,35100,35350,334581.0,1
2017-03-02,35750.0,35750,34450,34700,530121.0,1
2017-03-03,34500.0,34900,34200,34350,222585.0,1
