날짜,시가,고가,저가,종가,거래량,매수_기관합계,매수_기타법인,매수_개인,매수_외국인합계,매도_기관합계,매도_기타법인,매도_개인,매도_외국인합계,전체,predictable
2016-11-01,8690.0,8690.0,8680.0,8680.0,7.0,0.0,0.0,60810.0,0.0,0.0,0.0,60810.0,0.0,60810.0,0
2016-11-02,8500.0,8700.0,8500.0,8700.0,27.0,0.0,0.0,60810.0,0.0,0.0,0.0,60810.0,0.0,60810.0,0
2016-11-03,8700.0,8700.0,8700.0,8700.0,2.0,0.0,0.0,229900.0,0.0,0.0,0.0,229900.0,0.0,229900.0,0
2016-11-04,8697.5,8697.5,8697.5,8697.5,17.5,0.0,0.0,17400.0,0.0,0.0,0.0,17400.0,0.0,17400.0,0
2016-11-07,8690.0,8690.0,8690.0,8690.0,64.0,0.0,0.0,152090.0,0.0,0.0,0.0,152090.0,0.0,152090.0,0
2016-11-08,8695.0,8695.0,8695.0,8695.0,129.5,0.0,0.0,556160.0,0.0,0.0,0.0,556160.0,0.0,556160.0,0
2016-11-09,8700.0,8700.0,8390.0,8650.0,195.0,0.0,0.0,1101185.0,0.0,0.0,0.0,1101185.0,0.0,1101185.0,0
2016-11-10,8650.0,8650.0,8590.0,8600.0,279.0,0.0,0.0,1646210.0,0.0,0.0,0.0,1646210.0,0.0,1646210.0,0
2016-11-11,8600.0,8600.0,8110.0,8470.0,1043.0,0.0,0.0,2401430.0,0.0,0.0,0.0,2401430.0,0.0,2401430.0,0
2016-11-14,8210.0,8400.0,8210.0,8400.0,268.0,0.0,876960.0,7708970.0,0.0,0.0,0.0,8585930.0,0.0,8585930.0,0
2016-11-15,8180.0,8380.0,8180.0,8240.0,96.0,0.0,0.0,2206330.0,0.0,0.0,0.0,2206330.0,0.0,2206330.0,0
2016-11-16,8310.0,8340.0,8250.0,8340.0,153.0,0.0,24720.0,764570.0,0.0,0.0,0.0,789290.0,0.0,789290.0,0
2016-11-17,8380.0,8380.0,8330.0,8380.0,241.0,0.0,0.0,1273270.0,0.0,0.0,0.0,1273270.0,0.0,1273270.0,0
2016-11-18,8400.0,8400.0,8310.0,8310.0,105.0,0.0,0.0,2007930.0,0.0,0.0,0.0,2007930.0,0.0,2007930.0,0
2016-11-21,8310.0,8580.0,8310.0,8580.0,95.0,0.0,0.0,873000.0,0.0,0.0,0.0,873000.0,0.0,873000.0,0
2016-11-22,8600.0,8900.0,8600.0,8900.0,46.0,0.0,0.0,803480.0,0.0,0.0,0.0,803480.0,0.0,803480.0,0
2016-11-23,8900.0,8900.0,8880.0,8890.0,287.0,0.0,0.0,406400.0,0.0,0.0,0.0,406400.0,0.0,406400.0,0
2016-11-24,8700.0,8700.0,8400.0,8700.0,396.0,0.0,0.0,2553890.0,0.0,0.0,0.0,2553890.0,0.0,2553890.0,0
2016-11-25,8700.0,9200.0,8700.0,9170.0,2954.0,0.0,0.0,3363180.0,0.0,0.0,0.0,3363180.0,0.0,3363180.0,0
2016-11-28,8900.0,8900.0,8510.0,8900.0,1574.0,0.0,0.0,26788920.0,0.0,0.0,0.0,26788920.0,0.0,26788920.0,0
2016-11-29,8870.0,8870.0,8870.0,8870.0,6.0,0.0,0.0,13584300.0,0.0,0.0,0.0,13584300.0,0.0,13584300.0,0
2016-11-30,8400.0,8800.0,8400.0,8800.0,312.0,0.0,0.0,53900.0,0.0,0.0,0.0,53900.0,0.0,53900.0,0
2016-12-01,8610.0,8750.0,8410.0,8680.0,498.0,0.0,0.0,2644510.0,0.0,0.0,0.0,2644510.0,0.0,2644510.0,0
2016-12-02,8670.0,8670.0,8520.0,8650.0,233.0,0.0,0.0,4246780.0,0.0,0.0,0.0,4246780.0,0.0,4246780.0,0
2016-12-05,8600.0,8650.0,8560.0,8650.0,17.0,0.0,792360.0,1210940.0,0.0,0.0,0.0,2003300.0,0.0,2003300.0,0
2016-12-06,8650.0,9100.0,8650.0,8900.0,953.0,0.0,0.0,146400.0,0.0,0.0,0.0,146400.0,0.0,146400.0,0
2016-12-07,8900.0,8900.0,8500.0,8800.0,271.0,88500.0,0.0,8316500.0,0.0,89000.0,0.0,8316000.0,0.0,8405000.0,0
2016-12-08,8800.0,8800.0,8690.0,8800.0,252.0,0.0,0.0,2353020.0,0.0,0.0,0.0,2353020.0,0.0,2353020.0,0
2016-12-09,8800.0,8800.0,8800.0,8800.0,10.0,0.0,0.0,2193300.0,0.0,0.0,0.0,2193300.0,0.0,2193300.0,0
2016-12-12,8800.0,8800.0,8800.0,8800.0,3.0,0.0,0.0,88840.0,0.0,0.0,0.0,88840.0,0.0,88840.0,0
2016-12-13,8610.0,9090.0,8170.0,8830.0,1128.0,0.0,0.0,26400.0,0.0,0.0,0.0,26400.0,0.0,26400.0,0
2016-12-14,8800.0,8800.0,8520.0,8690.0,148.0,0.0,0.0,9763350.0,0.0,0.0,0.0,9763350.0,0.0,9763350.0,0
2016-12-15,8790.0,8900.0,8690.0,8700.0,141.0,0.0,0.0,1269320.0,0.0,0.0,0.0,1269320.0,0.0,1269320.0,0
2016-12-16,8700.0,8700.0,8500.0,8680.0,140.0,0.0,0.0,1231310.0,0.0,0.0,0.0,1231310.0,0.0,1231310.0,0
2016-12-19,8680.0,8680.0,8670.0,8670.0,4.0,0.0,0.0,1202800.0,0.0,0.0,0.0,1202800.0,0.0,1202800.0,0
