날짜,시가,고가,저가,종가,거래량,매수_기관합계,매수_기타법인,매수_개인,매수_외국인합계,매도_기관합계,매도_기타법인,매도_개인,매도_외국인합계,전체,predictable
2016-11-01,3456.0,3456.0,3456.0,3456.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-02,3456.0,3456.0,3456.0,3456.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-03,3456.0,3456.0,3456.0,3456.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-04,3456.0,3456.0,3456.0,3456.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-07,3456.0,3456.0,3456.0,3456.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-08,3456.0,3456.0,3456.0,3456.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-09,3456.0,3456.0,3456.0,3456.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-10,3456.0,3456.0,3456.0,3456.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-11,3456.0,3456.0,3456.0,3456.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-14,3456.0,3456.0,3456.0,3456.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-15,3456.0,3456.0,3456.0,3456.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-16,3456.0,3456.0,3456.0,3456.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-17,3456.0,3456.0,3456.0,3456.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-18,3456.0,3456.0,3456.0,3456.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-21,3456.0,3456.0,3456.0,3456.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-22,3456.0,3456.0,3456.0,3456.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-23,3456.0,3456.0,3456.0,3456.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-24,3456.0,3456.0,3456.0,3456.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-25,3456.0,3456.0,3456.0,3456.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-28,3456.0,3456.0,3456.0,3456.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-29,3456.0,3456.0,3456.0,3456.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-11-30,3456.0,3456.0,3456.0,3456.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-12-01,3456.0,3456.0,3456.0,3456.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-12-02,3456.0,3456.0,3456.0,3456.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-12-05,3456.0,3456.0,3456.0,3456.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-12-06,3456.0,3456.0,3456.0,3456.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-12-07,3456.0,3456.0,3456.0,3456.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-12-08,3456.0,3456.0,3456.0,3456.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-12-09,3456.0,3456.0,3456.0,3456.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-12-12,3456.0,3456.0,3456.0,3456.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-12-13,3456.0,3456.0,3456.0,3456.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
